GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Filium,com.filium.packet,Packet,2,135,1,11,0,34,1,16,0,11
Filium,com.filium.packet,PacketHeader,9,210,3,33,1,43,3,26,0,11
Filium,com.filium.packet,PacketType,0,134,0,0,0,19,0,1,0,1
Filium,com.filium.packet,PacketHeader.PacketHeaderExpired,0,17,0,0,0,5,0,4,0,4
Filium,com.filium.io,TopologySerializer,0,171,0,10,0,31,0,7,0,2
Filium,com.filium.io,TopologyDeserializer,0,196,1,21,0,40,1,15,0,3
Filium,com.filium.model.network,NetworkTopology,0,254,3,35,0,59,3,33,0,17
Filium,com.filium.model.network,Cable,2,132,1,21,0,33,1,19,0,9
Filium,com.filium.model.network,IPAddress,2,199,1,23,0,45,1,21,0,10
Filium,com.filium.model.network,NetworkInterface,2,206,1,17,0,44,1,24,0,16
Filium,com.filium.simulation,SimulationClock,0,64,0,6,0,24,0,12,0,9
Filium,com.filium.simulation,SimulationEngine,0,203,0,22,0,47,0,20,0,9
Filium,com.filium.simulation,ARPTable,0,90,0,14,0,22,0,15,0,8
Filium,com.filium.simulation,RoutingTable.RouteEntry,0,57,0,10,0,15,0,10,0,5
Filium,com.filium.simulation,RoutingTable,15,131,3,13,2,29,3,14,0,9
Filium,com.filium.simulation,SimulationEventType,0,104,0,0,0,14,0,1,0,1
Filium,com.filium.simulation,PacketQueue,0,44,0,2,0,13,0,8,0,7
Filium,com.filium.simulation,SimulationEvent,3,101,2,10,0,27,2,14,0,10
Filium,com.filium.ui.canvas,CanvasController,542,0,46,0,133,0,49,0,24,0
Filium,com.filium.ui.canvas,CableEdge,8,74,0,0,0,24,2,4,2,4
Filium,com.filium.ui.canvas,NetworkCanvas,10,0,0,0,4,0,1,0,1,0
Filium,com.filium.ui.canvas,DeviceNode,0,181,0,2,0,39,0,8,0,7
Filium,com.filium.simulation.protocols,ICMPHandler,1,192,8,20,0,54,8,9,0,3
Filium,com.filium.simulation.protocols,DHCPHandler,0,173,0,24,0,47,0,15,0,3
Filium,com.filium.simulation.protocols,ARPHandler,0,137,1,15,0,39,1,10,0,3
Filium,com.filium.simulation.protocols,HTTPHandler,0,184,5,23,0,51,5,12,0,3
Filium,com.filium.simulation.protocols,DNSHandler,0,148,0,16,0,42,0,11,0,3
Filium,com.filium.simulation.protocols,ProtocolRegistry,0,53,0,4,0,15,0,9,0,7
Filium,com.filium,Main,7,0,0,0,3,0,2,0,2,0
Filium,com.filium.ui.dialogs,AboutDialog,2,147,0,0,0,31,1,1,1,1
Filium,com.filium.ui.dialogs,DeviceConfigDialog,152,318,24,12,29,65,15,9,2,4
Filium,com.filium.ui.panels,PropertiesPanel,167,379,30,6,28,72,28,7,12,5
Filium,com.filium.ui.panels,ToolbarPanel,173,172,8,0,47,34,16,8,12,8
Filium,com.filium.ui.panels,SidebarPanel,34,210,2,8,8,43,4,11,3,5
Filium,com.filium.ui.panels,SimulationLogPanel,11,227,1,15,1,48,2,20,1,9
Filium,com.filium.app,FiliumApp.new AnimationTimer() {...},32,0,2,0,7,0,3,0,2,0
Filium,com.filium.app,FiliumApp,299,0,0,0,70,0,9,0,9,0
Filium,com.filium.model.devices,DeviceType,0,129,0,6,0,20,0,8,0,5
Filium,com.filium.model.devices,Switch,0,103,0,12,0,28,0,14,0,8
Filium,com.filium.model.devices,Router,0,61,0,6,0,18,0,8,0,5
Filium,com.filium.model.devices,DNSServer,0,66,0,10,0,17,0,12,0,7
Filium,com.filium.model.devices,Firewall.FirewallRule,2,162,5,23,0,32,5,19,0,10
Filium,com.filium.model.devices,Firewall,0,107,0,14,0,30,0,16,0,9
Filium,com.filium.model.devices,PC,0,31,0,2,0,10,0,5,0,4
Filium,com.filium.model.devices,DHCPServer,6,244,13,37,0,44,13,21,0,9
Filium,com.filium.model.devices,Device,7,106,2,8,1,30,2,16,0,13
